ID,Endowment assets ($),Receiving financial aid (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Degree of urbanization,Geographic region
C1507,,96,15024,15790,18000,21600,Suburb: Large,Rocky Mountains
C0895,172819,81,42042,43602,45219,46785,City: Small,Mid East
C0838,5766,100,26910,27810,29170,30290,City: Large,Mid East
C1100,2066,87,7732,8359,8596,8819,Town: Fringe,Mid East
C1116,14856,100,18000,18750,19520,20268,Town: Fringe,Mid East
C1341,176,86,21465,22545,22545,22885,City: Small,New England
C0294,,100,15750,16650,17595,18795,City: Large,Great Lakes
C0149,41918,87,13425,14453,15654,16485,Suburb: Large,Rocky Mountains
C0981,106676,64,40900,42630,44420,45640,Town: Distant,Great Lakes
C0850,12730,100,24369,25322,26324,27364,Suburb: Large,Mid East
C0598,3933,88,9088,9716,10078,10716,Suburb: Large,Great Lakes
C0779,6784,97,5400,5827,6513,6220,Suburb: Midsize,Southwest
C0803,4005,69,4999,5529,5829,6129,City: Large,Mid East
C0262,31428,92,17166,17670,18070,18670,Rural: Fringe,Southeast
C0429,27531,92,5054,5270,5486,5774,City: Midsize,Plains
C0362,2762,80,6163,6365,6576,6700,Suburb: Large,Great Lakes
C1384,54414,100,31214,32900,34971,36597,Suburb: Midsize,Southeast
C0214,,92,14176,15064,15664,16284,City: Midsize,Southeast
C1161,26599,92,23728,24856,26012,26802,Town: Fringe,Mid East
C0673,17838,84,19854,21043,22075,22295,City: Midsize,Plains
C1193,18743,98,24060,25050,26030,26800,City: Midsize,Southeast
C0340,8466,87,8214,8558,8980,9160,City: Small,Great Lakes
C1331,1608,87,3489,3888,4089,4291,City: Small,Rocky Mountains
C1011,6031,100,22410,23765,24690,25840,Suburb: Large,Great Lakes
C1411,10282,100,23454,23898,24900,25377,Suburb: Small,Far West
C0597,2801,98,21178,22388,23260,24168,City: Midsize,Great Lakes
C1030,17463,87,6779,7107,7442,7442,Town: Distant,Southwest
C0139,33310,82,22400,22850,23600,24500,Rural: Distant,Far West
C1211,6506,99,12176,12656,13266,13670,City: Small,Southeast
C0879,3788,84,6215,6574,6942,7327,Town: Distant,Mid East
C1374,31293,100,29905,30805,32005,33565,City: Small,Southeast
C0158,5991,98,30598,31188,31800,32424,City: Large,Rocky Mountains
C1125,8406,84,12720,13094,13350,13602,Suburb: Large,Mid East
C0948,63362,90,25626,26675,27740,29540,Suburb: Large,Southeast
C0986,32353,77,12786,13153,13594,13800,Town: Fringe,Great Lakes
C1145,2585,91,12176,12626,12890,13128,Suburb: Large,Mid East
C0729,23403,91,14998,15300,15600,15600,Town: Remote,Plains
C1066,15951,100,32720,34150,35620,36810,Suburb: Large,Mid East
C0542,4663,93,7065,7580,8080,8080,City: Small,New England
C0080,2387,74,5076,6488,6296,6525,City: Large,Far West
C0592,6804,99,30660,32500,34530,35920,City: Large,Great Lakes
C0474,1020,93,4000,4604,5242,5715,City: Small,Southeast
C0523,930009,65,40862,42898,44610,46574,Suburb: Large,New England
C0791,47891,100,34760,36780,38610,40540,Town: Remote,Mid East
C0281,92003,99,21380,22695,23355,24055,Suburb: Midsize,Rocky Mountains
C0066,14701,98,31000,32860,34360,35720,City: Midsize,Far West
C0219,2645,98,22150,23214,24414,25430,Suburb: Large,Southeast
C0766,13352,80,12069,12294,12590,12998,City: Large,Mid East
C1200,14368,99,10290,10530,10840,11087,City: Small,Southeast
C0911,364661,64,40243,41938,43623,45376,City: Midsize,Southeast
C0874,6730,80,6580,6994,7560,7995,Suburb: Large,Mid East
C0376,31921,99,26383,27438,28088,28753,Town: Distant,Great Lakes
C0990,31533,100,20616,21610,22628,23662,Town: Distant,Great Lakes
C0905,16115,100,15844,16794,16794,17355,City: Large,Southeast
C0802,15356,,,,,,City: Large,Mid East
C0093,821,100,22692,23814,25108,25888,Suburb: Large,Far West
C0677,969,98,4336,4553,5110,5220,City: Large,Plains
C0888,2624,91,6164,6502,6828,7179,Town: Distant,Mid East
C1487,12245,69,8617,10241,11911,11911,Suburb: Large,Far West
C0983,5695,98,12696,13176,16950,17655,Suburb: Large,Great Lakes
C0976,27948,100,22780,23670,24580,26180,Town: Distant,Great Lakes
C1438,13359,100,24065,25248,26475,27724,City: Small,Great Lakes
C1258,311592,65,39930,41332,42118,42978,City: Large,Southeast
C0347,77521,100,24655,25865,26895,27695,Suburb: Large,Great Lakes
C0561,5787,100,27157,28208,29112,30132,Suburb: Large,New England
C1167,1756,79,7680,8274,8620,8850,Suburb: Large,Mid East
C1056,5298,85,6444,6840,7109,7438,Suburb: Midsize,Far West
C0628,9275,99,27400,28500,29700,19700,City: Large,Plains
C0823,18893,98,28850,30192,31540,32770,Suburb: Large,Mid East
C1409,15069,97,28965,30339,32067,33813,City: Large,Far West
C1325,410997,94,30015,31356,32868,34678,City: Large,Southwest
C1065,8359,100,25480,26630,27950,29060,City: Small,Mid East
C0130,24298,71,36380,37424,38884,40294,City: Large,Far West
C1387,132618,100,30195,31095,32325,33605,Suburb: Midsize,Southeast
C1413,51447,55,8701,10574,12383,12397,City: Large,Far West
C0512,17107,99,28350,29700,30850,32050,City: Large,Mid East
C0842,66851,55,40082,41606,43204,44848,City: Large,Mid East
C1408,9649,95,26677,27897,28740,30284,Suburb: Midsize,Far West
C1531,935,100,27350,29240,29240,31300,City: Large,Mid East
C0807,1018,86,4939,5469,5769,6069,City: Large,Mid East
C1112,40027,100,27480,28356,29460,30470,Suburb: Large,Mid East
C0680,11048,99,21910,22882,23746,25002,Suburb: Large,Plains
C1063,78877,100,34810,36190,37610,39100,Town: Distant,Mid East
C0906,34639,99,22250,22860,23900,25200,Town: Fringe,Southeast
C0074,1234,88,4849,6095,6095,6100,City: Small,Far West
C1225,13557,87,23680,24960,26130,27380,City: Large,Southeast
C0975,7346,100,26798,28104,28914,29798,Town: Distant,Great Lakes
C0435,16159,100,17590,18340,19140,19640,City: Small,Southeast
C1473,58279,86,42192,43655,45004,46286,Rural: Fringe,Southwest
C1050,19689,86,7115,7600,8138,8322,City: Small,Far West
C1309,,,,,,,Town: Fringe,Southwest
C0520,109212,93,36738,38542,39944,41120,Town: Distant,Mid East
C1444,239,81,11550,12260,12860,13120,Town: Fringe,Great Lakes
C0774,690,87,11238,11464,11694,11918,Suburb: Large,Mid East
C1236,13326,92,22908,24052,24960,24960,City: Small,Southeast
C0068,414,75,,,15190,15816,City: Large,Far West
C1132,9244,94,12616,13040,13300,13412,Rural: Fringe,Mid East
C0404,1934,85,22350,23356,24400,24400,Rural: Remote,Plains
C0162,6939,93,26370,27330,28140,29090,City: Midsize,New England
C0681,1144,100,18700,19650,20764,21790,Suburb: Large,Plains
C1209,1349,97,9242,9596,9892,10198,Suburb: Midsize,Southeast
C1450,31282,100,25241,26566,28568,29990,Town: Remote,Great Lakes
C1362,41565,100,12330,12340,15308,15838,City: Large,Southeast
C0532,2933,79,7053,7552,8053,8053,Suburb: Large,New England
C1001,102736,99,36398,37820,39150,40510,Suburb: Large,Great Lakes
C0426,14161,100,20656,21680,22756,23886,Town: Distant,Plains
C0173,36852,89,34250,36130,38000,39330,Suburb: Large,New England
C0751,4502,95,31060,32538,33792,34882,Suburb: Large,Mid East
C1354,3595,99,19655,20450,21273,22000,Rural: Fringe,New England
C1026,1715,94,4385,4602,4857,4992,Town: Remote,Southwest
C1393,177204,82,12328,13184,13760,14404,Town: Distant,Southeast
C0515,,93,7920,7920,7920,9830,City: Large,Mid East
C0286,9032,100,18700,19450,20100,20720,Suburb: Large,Great Lakes
C1153,41919,100,27365,28804,29846,30350,Suburb: Large,Mid East
C0114,86534,,,,,,Suburb: Midsize,Far West
C1256,8281,99,19920,20910,21620,22250,Town: Distant,Southeast
C0011,,100,7370,8090,8090,8090,Town: Distant,Southeast
C0251,5272,91,8698,9410,8157,8368,City: Large,Southeast
C0933,13884,80,4973,5765,6136,6382,City: Large,Southeast
C1105,168081,68,39780,40960,42220,43520,City: Small,Mid East
C1422,34082,100,21120,22320,23820,24992,Town: Remote,Southeast
C1160,9745,89,12424,13596,13596,14096,City: Large,Mid East
C0466,8196,94,5545,5896,6574,7302,Town: Distant,Southeast
C0154,2499,90,6248,6548,6870,6725,City: Small,Rocky Mountains
C1025,19868,94,3831,4112,4255,3815,Rural: Distant,Southwest
C0324,11632,100,23000,24140,25180,25834,Town: Remote,Great Lakes
C0819,5887,98,18530,18940,19440,19940,Suburb: Large,Mid East
C0722,377,88,5880,6280,6510,6550,City: Large,Plains
C1465,3882,81,8151,8675,9181,9300,City: Large,Great Lakes
C0124,12396,93,27100,28310,29510,30356,City: Large,Far West
C0805,821,86,4940,5508,5808,6108,City: Large,Mid East
C0712,2635,87,3696,3947,4111,4141,Town: Remote,Rocky Mountains
C0033,1665,100,9750,10500,11700,12000,City: Large,Southwest
C0602,11860,86,24633,26278,27870,28948,City: Small,Great Lakes
C0320,3355,96,11676,12422,13066,12976,Suburb: Small,Great Lakes
C1366,30190,100,24945,26375,27425,28585,Rural: Distant,Southeast
C1285,57169,99,20830,22045,23480,24296,City: Midsize,Southwest
C0078,1788,71,4810,6240,6052,6240,City: Large,Far West
C1198,4753,99,9154,9504,9792,10100,Town: Distant,Southeast
C0314,12043,100,23130,24190,25340,26050,Suburb: Large,Great Lakes
C0508,12068,73,8416,8655,8908,9162,Suburb: Large,Mid East
C1235,24638,100,15922,17081,20468,20468,Town: Distant,Southeast
C0179,,81,7909,8104,8440,8893,City: Small,New England
C0731,14224,94,5561,5630,6602,6610,City: Midsize,Far West
C0521,39288,99,33280,34780,35800,36960,Suburb: Small,Mid East
C0385,52507,96,31050,32920,34705,36430,Town: Fringe,Plains
C0120,15273,100,25221,25965,26640,27480,Rural: Fringe,Far West
C0934,2872,97,4561,4801,5200,5526,City: Midsize,Southeast
C1055,328925,53,41200,42800,44460,46010,City: Large,Far West
C0855,25980,98,17280,18100,19200,20700,City: Large,Mid East
C1369,54657,90,18074,18798,19738,20724,City: Midsize,Southeast
C1123,9223,94,12616,12994,13238,13354,Rural: Fringe,Mid East
C0486,5883,96,9022,9367,9367,9167,Town: Remote,New England
C0125,1146818,68,38394,39883,41438,43580,Suburb: Large,Far West
C0092,3240,100,26000,27300,28500,29630,City: Midsize,Far West
C0208,5871,90,14024,14604,15000,14776,Suburb: Large,Southeast
C1226,518,94,12242,13552,14520,15714,Town: Distant,Southeast
C1253,5489,98,5704,6088,6426,6498,City: Large,Southeast
C0225,6553,100,22770,23910,25110,26370,Suburb: Large,Southeast
C0038,4498,,,,,,City: Large,Southwest
C0175,11878,100,28530,30310,31826,33417,City: Small,New England
C0910,292976,62,36683,38866,40809,42849,Suburb: Large,Southeast
C0746,396,100,16100,17600,19200,19800,Suburb: Midsize,New England
C0723,24545,100,23474,24656,25918,27242,City: Large,Plains
C1185,6909,98,16370,17190,18254,18254,City: Midsize,Southeast
C0415,22079,100,20040,21030,22500,23430,City: Large,Plains
C0017,10086,99,9896,10490,11014,11454,Suburb: Large,Southeast
C1328,4935,100,11050,11050,11382,11382,Town: Distant,Southwest
C0484,3673,79,13450,14435,14540,15130,City: Small,New England
C1305,,99,6185,6910,7504,7620,Town: Distant,Southwest
C1058,2058,100,24380,25406,26431,27431,City: Midsize,Far West
C0886,12326,82,6504,6829,7230,7573,Suburb: Large,Mid East
C0431,55979,100,9500,9600,10100,10620,Rural: Remote,Southeast
C0994,44521,99,33099,34380,35678,36720,Town: Fringe,Great Lakes
C0433,13239,100,30310,32140,33270,34890,City: Large,Southeast
C1004,3661,96,6546,6762,6988,7177,Town: Fringe,Great Lakes
C0642,24444,100,32246,34308,36218,37926,Suburb: Midsize,Plains
C1175,13776,99,24429,25407,26412,27456,City: Midsize,New England
C0611,8753,95,7380,7560,7740,8100,City: Small,Great Lakes
C0640,2207,100,16340,17400,19066,19996,City: Large,Plains
C0684,5765,97,5227,5676,6007,6400,City: Small,Plains
C1454,12103,99,20850,21870,22670,23330,City: Small,Great Lakes
C0575,934,88,7431,7886,8297,8694,Suburb: Large,New England
C1397,599001,63,40387,41927,43362,44507,Town: Distant,Southeast
C0348,112373,100,24500,25700,26900,28500,City: Small,Great Lakes
C0826,43179,100,27340,28380,29460,30460,City: Midsize,Mid East
C0132,69357,84,37368,39048,40572,42156,City: Midsize,Far West
C1323,14031,98,18710,19760,20840,22040,City: Large,Southwest
C1316,134191,75,30090,32490,34590,36590,City: Large,Southwest
C0206,11992,95,32294,34990,36020,36020,City: Small,Southeast
C0425,11456,100,19960,20770,21980,23170,Town: Fringe,Plains
C1049,6769,89,7260,7889,7852,8548,Town: Remote,Far West
C1036,19940,95,17516,19705,20765,20595,Rural: Fringe,Southwest
C0048,824,98,4990,5290,5560,5793,Town: Remote,Southeast
C0459,163053,100,24080,25290,29500,30740,City: Midsize,Southeast
C1263,8035,97,21700,22920,23600,25880,City: Large,Southwest
C0400,7364,87,7008,7350,7635,7685,City: Small,Plains
C0847,20754,99,22985,23695,24408,25261,Rural: Distant,Mid East
C0527,2496,100,26880,28490,30340,31500,City: Midsize,New England
C1028,27015,99,17456,18456,18800,18800,City: Large,Southwest
C0475,1437,98,4584,5074,5810,6630,City: Midsize,Southeast
C0353,4586,87,6545,6708,6876,7013,City: Large,Great Lakes
C0133,289527,61,40450,41950,43620,45564,Suburb: Large,Far West
C0085,34375,62,10781,12686,12692,12697,City: Large,Far West
C0178,208049,51,42384,43974,45928,47244,City: Small,New England
C0387,36792,99,26960,28382,29556,30889,City: Midsize,Plains
C0049,2317,95,6908,7183,7333,7595,City: Small,Southeast
C0627,33370,100,27160,29360,30860,32814,Suburb: Midsize,Plains
C1324,3383,93,5428,5429,7050,7339,City: Midsize,Southwest
C0026,6100,98,11111,11143,11492,11492,Town: Distant,Southeast
C0103,3387,74,5750,7062,7135,7144,Town: Remote,Far West
C0695,7356,97,17280,18200,19150,20040,Town: Distant,Plains
C0164,1591,,,,,,Suburb: Large,New England
C0759,2233,77,10016,10646,11058,11318,Suburb: Large,Mid East
C0365,11964,99,24960,26000,27300,28400,City: Large,Great Lakes
C0361,1924,79,6193,6408,6626,6739,City: Small,Great Lakes
C0479,46059,99,17100,17900,18700,20560,City: Large,Southeast
C0409,42514,98,20026,21677,22624,23305,Town: Remote,Plains
C1491,,92,13720,14320,14800,15400,City: Small,Southeast
C1122,10666,99,12522,12994,13244,13318,Suburb: Large,Mid East
C0401,35950,100,23330,24630,25740,26764,Town: Distant,Plains
C1163,2865,98,16325,17377,18367,19394,Suburb: Large,Mid East
C1467,3121,84,6894,7277,7700,7720,Town: Distant,Great Lakes
C0540,,86,24600,25778,26775,27575,City: Large,New England
C1469,35762,92,3927,4125,4278,4404,Town: Remote,Rocky Mountains
C1464,60936,64,8983,9665,10378,10403,City: Midsize,Great Lakes
C1007,2657,96,8491,8788,9275,9275,City: Large,Great Lakes
C0846,11184,99,33702,35032,36614,38069,City: Large,Mid East
C0555,248174,79,40256,41456,41456,41456,Suburb: Large,New England
C1407,103991,97,37225,38720,40250,41868,City: Midsize,Far West
C1533,350,100,20444,21444,22686,24222,City: Midsize,Far West
C0848,30868,94,36284,37882,39566,41328,City: Large,Mid East
C0984,7391,100,22444,23420,24536,25678,City: Small,Great Lakes
C0757,1059,78,9815,10200,10601,10918,Suburb: Large,Mid East
C1385,13689,100,26080,27940,28800,29934,City: Small,Southeast
C0274,63,85,5416,5944,6184,6536,Town: Remote,Far West
C0836,7569,97,22130,23300,24420,25710,Suburb: Large,Mid East
C0166,13387,77,10416,10670,11242,12022,Suburb: Large,New England
C1239,3331,94,12220,12680,13370,13750,City: Small,Southeast
C1299,127702,76,37230,39430,41750,43800,Suburb: Large,Southwest
C0207,5533,91,5102,5678,6417,6496,Suburb: Large,Southeast
C0694,71318,93,32656,33986,35256,36726,City: Large,Plains
C1018,18487,96,7199,7451,7712,8129,City: Small,Great Lakes
C0714,7436,87,5076,5340,5600,5600,Town: Remote,Plains
C0966,186652,88,37648,39120,40490,41800,City: Large,Great Lakes
C0595,38197,100,29206,29988,33946,35600,City: Midsize,Great Lakes
C0596,1874,100,14250,11860,12424,12235,City: Small,Great Lakes
C0118,156752,69,40939,42871,44570,46652,City: Large,Far West
C1021,11081,100,18354,19794,21174,22044,Suburb: Large,Southwest
C0605,1332,100,18056,19122,20010,19920,Suburb: Large,Great Lakes
C1400,1985,88,6605,7240,7933,7961,Town: Fringe,Far West
C0643,1366,86,6660,7105,7472,7514,City: Small,Plains
C0612,1682,90,7864,8414,8709,9037,Town: Remote,Great Lakes
C1012,20831,100,12470,12470,13250,15140,Rural: Fringe,Great Lakes
C1186,2753,97,19500,20550,21450,22200,Suburb: Large,Southeast
