ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,4-year graduation rate (%),ACT Composite score (25th percentile),Receiving financial aid (%)
C1265,Private,Doctoral degree,,31496,Southeast,5025,19,20,59
C1266,Private,Doctoral degree,90,18750,Mid East,990,46,15,99
C1267,Private,Master's degree,32,13443,Great Lakes,1979,79,25,88
C1268,Public,Master's degree,58,11369,Plains,2900,28,,98
C1269,Public,Doctoral degree,67,38330,Southwest,4002,13,,100
C1270,Private,Doctoral degree,63,8790,Southeast,703,57,20,95
C1271,Private,Master's degree,62,25200,Southwest,328,40,21,96
C1272,Public,Doctoral degree,58,7818,New England,1535,43,17,81
C1273,Public,Master's degree,88,44430,New England,970,65,,66
C1274,Public,Master's degree,77,12322,Mid East,10235,52,22,87
C1275,Public,Doctoral degree,68,6096,Great Lakes,32077,34,23,81
C1276,Private,Master's degree,92,34715,Southeast,4772,34,19,95
C1277,Private,Bachelor's degree,51,41226,Southwest,16946,6,,99
C1278,Private,Doctoral degree,,13410,Southeast,1252,,,82
C1279,Private,Bachelor's degree,99,6292,Great Lakes,14670,30,,80
C1280,Public,Doctoral degree,70,21600,Southeast,8347,25,20,96
C1281,Public,Doctoral degree,42,46785,Mid East,2463,,21,81
C1282,Private,Master's degree,92,30290,New England,1930,52,20,100
C1283,Private,Master's degree,48,8819,Great Lakes,1240,64,22,87
C1284,Private,Doctoral degree,96,20268,Southeast,1615,10,19,100
C1285,Private,Master's degree,39,22885,New England,14950,40,19,86
C1286,Public,Master's degree,49,18795,Southeast,1077,34,20,100
C1287,Public,Doctoral degree,72,16485,Far West,7545,42,19,87
C1288,Private,Doctoral degree,92,45640,Rocky Mountains,8548,68,19,64
C1289,Public,Doctoral degree,49,27364,Rocky Mountains,3533,90,,100
C1290,Public,Doctoral degree,51,10716,Plains,5391,53,,88
C1291,Private,Bachelor's degree,79,6220,Southeast,320,50,,97
C1292,Public,Doctoral degree,75,6129,Great Lakes,656,20,,69
C1293,Private,Doctoral degree,62,18670,Rocky Mountains,15467,76,18,92
C1294,Private,Master's degree,22,5774,Mid East,5029,11,17,92
C1295,Private,Doctoral degree,82,6700,Mid East,47663,58,17,80
C1296,Public,Doctoral degree,38,36597,Plains,13552,5,22,100
C1297,Private,Master's degree,72,16284,Plains,1662,43,25,92
C1298,Private,Doctoral degree,32,26802,Southeast,27902,11,,92
C1299,Private,Doctoral degree,60,22295,Great Lakes,1070,,,84
C1300,Private,Master's degree,57,26800,Southeast,1858,43,,98
C1301,Private,Bachelor's degree,67,9160,Mid East,862,54,,87
C1302,Public,Doctoral degree,54,4291,Southeast,6025,84,,87
C1303,Public,Doctoral degree,63,25840,Plains,21303,29,,100
C1304,Private,Master's degree,87,25377,Far West,957,71,22,100
C1305,Private,Bachelor's degree,34,24168,Southeast,700,49,,98
C1306,Public,Master's degree,75,7442,Great Lakes,9925,58,19,87
C1307,Public,Doctoral degree,77,24500,Mid East,556,37,17,82
C1308,Public,Doctoral degree,88,13670,Mid East,8243,61,,99
C1309,Public,Doctoral degree,68,7327,Mid East,5260,50,,84
C1310,Public,Doctoral degree,81,33565,Far West,4555,34,,100
C1311,Public,Doctoral degree,83,32424,Mid East,827,25,16,98
C1312,Public,Doctoral degree,79,13602,Southeast,14386,41,21,84
C1313,Public,Doctoral degree,17,29540,Southwest,3560,21,,90
C1314,Public,Doctoral degree,75,13800,Southeast,1323,8,,77
C1315,Public,Doctoral degree,,13128,Southeast,4842,26,22,91
C1316,Private,Doctoral degree,58,15600,Rocky Mountains,1820,20,17,91
C1317,Private,Bachelor's degree,70,36810,New England,2134,64,20,100
C1318,Private,Master's degree,46,8080,Southeast,2189,55,21,93
C1319,Public,Master's degree,29,6525,Southeast,26957,30,21,74
C1320,Public,Doctoral degree,65,35920,Great Lakes,6983,68,,99
C1321,Public,Doctoral degree,74,5715,Southeast,492,23,27,93
C1322,Public,Doctoral degree,70,46574,Southwest,5399,9,22,65
C1323,Private,Doctoral degree,64,40540,Southeast,5084,19,24,100
C1324,Public,Doctoral degree,78,24055,Mid East,7605,5,21,99
C1325,Private,Master's degree,33,35720,Great Lakes,1560,18,18,98
C1326,Private,Master's degree,59,25430,Mid East,1138,29,22,98
C1327,Public,Doctoral degree,68,12998,New England,1023,38,,80
C1328,Private,Bachelor's degree,54,11087,Mid East,13459,58,17,99
C1329,Private,Doctoral degree,64,45376,Southeast,2061,50,17,64
C1330,Private,Bachelor's degree,72,7995,Great Lakes,6931,72,19,80
C1331,Public,Bachelor's degree,84,28753,Plains,28518,30,22,99
C1332,Public,Master's degree,,23662,Southeast,4058,,22,100
C1333,Private,Bachelor's degree,83,17355,Far West,3179,35,22,100
C1334,Private,Bachelor's degree,63,,Great Lakes,4924,29,23,
C1335,Public,Doctoral degree,,25888,Great Lakes,553,,16,100
C1336,Public,Master's degree,54,5220,Mid East,55697,25,23,98
C1337,Public,Doctoral degree,61,7179,Southeast,1952,65,,91
C1338,Public,Master's degree,74,11911,Southwest,10928,14,17,69
C1339,Private,Master's degree,91,17655,Great Lakes,6130,52,21,98
C1340,Private,Master's degree,50,26180,Mid East,2558,25,28,100
C1341,Private,Master's degree,85,27724,New England,9903,,,100
C1342,Public,Master's degree,,42978,Far West,4946,35,18,65
C1343,Private,Master's degree,60,27695,Far West,20729,45,28,100
C1344,Private,Master's degree,,30132,Mid East,665,56,21,100
C1345,Private,Master's degree,72,8850,Mid East,16765,46,20,79
C1346,Public,Master's degree,93,7438,Mid East,863,79,18,85
C1347,Public,Master's degree,100,19700,Far West,5616,13,21,99
C1348,Private,Master's degree,42,32770,Rocky Mountains,2390,30,25,98
C1349,Private,Doctoral degree,26,33813,Southeast,4461,42,19,97
C1350,Private,Master's degree,40,34678,Rocky Mountains,30030,43,27,94
C1351,Private,Master's degree,49,29060,Mid East,12285,2,21,100
C1352,Private,Master's degree,72,40294,Southwest,34616,27,16,71
C1353,Private,Master's degree,78,33605,Mid East,2819,90,18,100
C1354,Private,Bachelor's degree,73,12397,Southeast,2392,27,,55
C1355,Private,Bachelor's degree,,32050,Southeast,1904,34,,99
C1356,Public,Bachelor's degree,61,44848,Great Lakes,1621,41,20,55
C1357,Public,Doctoral degree,56,30284,Mid East,9030,12,20,95
C1358,Private,Master's degree,,31300,New England,22166,19,20,100
C1359,Private,Master's degree,90,6069,Great Lakes,6551,10,20,86
C1360,Private,Bachelor's degree,73,30470,Plains,5354,12,17,100
C1361,Public,Doctoral degree,66,25002,New England,574,84,,99
C1362,Private,Doctoral degree,69,39100,Mid East,6555,7,18,100
C1363,Public,Master's degree,79,25200,Mid East,2051,27,19,99
C1364,Private,Master's degree,,6100,Southeast,1143,65,16,88
C1365,Private,Master's degree,43,27380,Great Lakes,2257,4,17,87
C1366,Private,Bachelor's degree,,29798,Southeast,1481,69,17,100
C1367,Public,Doctoral degree,82,19640,Southeast,750,50,32,100
C1368,Private,Bachelor's degree,34,46286,Plains,985,34,,86
C1369,Private,Doctoral degree,79,8322,Mid East,1875,41,20,86
C1370,Private,Master's degree,,,Far West,79,49,,
C1371,Public,Doctoral degree,67,41120,Southeast,17505,22,22,93
C1372,Private,Doctoral degree,100,13120,Great Lakes,2344,80,19,81
C1373,Public,Master's degree,48,11918,Southeast,1481,15,20,87
C1374,Private,Doctoral degree,26,24960,Great Lakes,4919,52,,92
C1375,Private,Master's degree,,15816,Southeast,692,28,20,75
C1376,Public,Master's degree,41,13412,Southeast,6633,34,18,94
C1377,Private,Doctoral degree,51,24400,Rocky Mountains,30488,18,18,85
C1378,Public,Doctoral degree,75,29090,Great Lakes,1408,5,19,93
C1379,Public,Doctoral degree,77,21790,Southeast,1018,5,23,100
C1380,Public,Doctoral degree,79,10198,Far West,1884,55,18,97
C1381,Private,Bachelor's degree,47,29990,Plains,558,69,,100
C1382,Private,Master's degree,14,15838,New England,3198,16,,100
C1383,Private,Doctoral degree,64,8053,Great Lakes,5979,23,21,79
C1384,Private,Bachelor's degree,66,40510,Southeast,2956,30,29,99
C1385,Private,Doctoral degree,21,23886,Far West,116,65,21,100
C1386,Private,Bachelor's degree,65,39330,Far West,1842,39,22,89
C1387,Private,Master's degree,55,34882,Southeast,2702,30,19,95
C1388,Public,Bachelor's degree,69,22000,Mid East,35586,3,18,99
C1389,Private,Bachelor's degree,76,4992,Southeast,2474,30,19,94
C1390,Public,Doctoral degree,,14404,Southwest,5473,23,18,82
C1391,Public,Doctoral degree,80,9830,Great Lakes,536,,22,93
C1392,Public,Doctoral degree,65,20720,Southwest,7261,47,24,100
C1393,Public,Bachelor's degree,74,30350,Far West,3308,25,14,100
C1394,Public,Doctoral degree,72,,Great Lakes,3359,39,,
C1395,Private,Doctoral degree,86,22250,Southeast,524,53,16,99
C1396,Private,Bachelor's degree,88,8090,Southeast,25341,36,29,100
C1397,Private,Doctoral degree,90,8368,Great Lakes,2325,75,,91
C1398,Public,Master's degree,89,6382,Rocky Mountains,24629,40,20,80
C1399,Private,Doctoral degree,77,43520,Far West,8341,52,21,68
C1400,Public,Doctoral degree,79,24992,Plains,1163,32,16,100
C1401,Public,Master's degree,74,14096,Far West,31964,23,,89
C1402,Private,Doctoral degree,86,7302,Plains,16860,59,,94
C1403,Private,Master's degree,99,6725,Southeast,16809,52,19,90
C1404,Private,Bachelor's degree,,3815,Mid East,1971,44,20,94
C1405,Private,Doctoral degree,59,25834,Great Lakes,26841,63,,100
C1406,Private,Master's degree,61,19940,Mid East,29466,33,16,98
C1407,Private,Doctoral degree,90,6550,New England,21471,54,21,88
C1408,Private,Master's degree,74,9300,Plains,23464,48,25,81
C1409,Private,Doctoral degree,64,30356,Southwest,660,71,19,93
C1410,Private,Doctoral degree,70,6108,Great Lakes,1216,24,24,86
C1411,Private,Master's degree,47,4141,Mid East,12710,19,20,87
C1412,Public,Doctoral degree,58,12000,Southeast,1607,51,18,100
C1413,Public,Doctoral degree,,28948,Mid East,12213,21,23,86
C1414,Public,Master's degree,70,12976,Southwest,24294,25,22,96
C1415,Private,Bachelor's degree,47,28585,Southeast,172,57,17,100
C1416,Private,Master's degree,79,24296,Rocky Mountains,840,68,,99
C1417,Private,Master's degree,79,6240,Southeast,4597,70,20,71
C1418,Private,Master's degree,75,10100,Great Lakes,4046,62,20,99
C1419,Public,Bachelor's degree,46,26050,Mid East,2190,27,20,100
C1420,Private,Doctoral degree,,9162,New England,1459,55,21,73
C1421,Public,Master's degree,97,20468,Plains,1492,15,23,100
C1422,Private,Bachelor's degree,81,8893,Plains,4537,79,18,81
C1423,Public,Master's degree,95,6610,Southwest,2481,51,32,94
C1424,Public,Bachelor's degree,55,36960,New England,1519,19,,99
C1425,Public,Doctoral degree,61,36430,Southwest,1173,49,17,96
C1426,Private,Master's degree,79,27480,Far West,1455,41,20,100
C1427,Public,Bachelor's degree,75,5526,Mid East,28297,45,,97
C1428,Public,Master's degree,81,46010,Plains,3993,32,25,53
C1429,Public,Master's degree,57,20700,Plains,2894,53,23,98
C1430,Public,Master's degree,69,20724,Great Lakes,16646,0,17,90
C1431,Public,Bachelor's degree,72,13354,Great Lakes,11707,46,19,94
C1432,Private,Master's degree,80,9167,Southeast,8944,24,20,96
C1433,Public,Doctoral degree,87,43580,Rocky Mountains,1381,49,24,68
C1434,Private,Doctoral degree,10,29630,Rocky Mountains,2431,62,,100
C1435,Private,Master's degree,54,14776,Southeast,1872,32,22,90
C1436,Private,Bachelor's degree,79,15714,Great Lakes,8117,0,21,94
C1437,Private,Doctoral degree,52,6498,Great Lakes,1039,17,,98
C1438,Private,Doctoral degree,66,26370,Southwest,9301,24,18,100
C1439,Private,Master's degree,58,,Far West,5410,21,23,
C1440,Private,Doctoral degree,73,33417,New England,1960,,18,100
C1441,Private,Doctoral degree,,42849,Mid East,39897,25,,62
C1442,Private,Master's degree,69,19800,Southwest,631,62,,100
C1443,Private,Bachelor's degree,75,27242,Mid East,4831,21,20,100
C1444,Private,Master's degree,49,18254,Great Lakes,1039,45,20,98
C1445,Private,Doctoral degree,59,23430,Great Lakes,1187,30,26,100
C1446,Private,Doctoral degree,89,11454,New England,7340,,20,99
C1447,Private,Master's degree,47,11382,Southeast,534,57,20,100
C1448,Private,Doctoral degree,75,15130,Southeast,5644,6,21,79
C1449,Private,Doctoral degree,62,7620,Southeast,17338,0,18,99
C1450,Private,Bachelor's degree,72,27431,Mid East,19431,37,19,100
C1451,Private,Bachelor's degree,57,7573,Southeast,21207,18,19,82
C1452,Private,Master's degree,48,10620,New England,2871,,24,100
C1453,Private,Master's degree,76,36720,Southeast,8164,45,20,99
C1454,Private,Doctoral degree,83,34890,Far West,6342,25,,100
C1455,Public,Master's degree,,7177,Plains,42677,20,,96
C1456,Public,Doctoral degree,66,37926,New England,6222,49,29,100
C1457,Public,Master's degree,43,27456,Great Lakes,16932,57,15,99
C1458,Public,Doctoral degree,81,8100,Southeast,6778,57,27,95
C1459,Private,Master's degree,30,19996,Plains,,19,16,100
C1460,Public,Doctoral degree,52,6400,Southeast,21444,45,20,97
C1461,Public,Master's degree,66,23330,Far West,1424,40,19,99
C1462,Public,Master's degree,,8694,Southeast,609,43,21,88
C1463,Public,Master's degree,45,44507,New England,15249,28,,63
C1464,Public,Doctoral degree,16,28500,Plains,2368,46,23,100
C1465,Public,Doctoral degree,60,30460,Great Lakes,3486,23,20,100
C1466,Public,Master's degree,58,42156,Southwest,2877,50,22,84
C1467,Public,Master's degree,74,22040,Mid East,57466,56,,98
C1468,Public,Doctoral degree,71,36590,Rocky Mountains,356,47,21,75
C1469,Public,Doctoral degree,76,36020,Southwest,11591,8,23,95
C1470,Private,Doctoral degree,92,23170,Great Lakes,338,37,22,100
C1471,Public,Doctoral degree,76,8548,Great Lakes,3404,15,20,89
C1472,Private,Bachelor's degree,46,20595,Plains,5784,86,30,95
C1473,Private,Master's degree,22,5793,Far West,3826,60,18,98
C1474,Private,Master's degree,88,30740,Southwest,1241,23,19,100
C1475,Private,Doctoral degree,59,25880,Southeast,260,38,29,97
C1476,Private,Doctoral degree,83,7685,Plains,4398,25,26,87
C1477,Private,Doctoral degree,65,25261,Southeast,6102,37,,99
C1478,Private,Master's degree,64,31500,Southeast,28649,41,20,100
C1479,Private,Master's degree,67,18800,New England,1785,47,20,99
C1480,Private,Doctoral degree,54,6630,Far West,5795,4,20,98
C1481,Public,Bachelor's degree,59,7013,Mid East,2996,27,,87
C1482,Private,Doctoral degree,67,45564,Mid East,726,22,20,61
C1483,Public,Bachelor's degree,52,12697,Mid East,8712,2,29,62
C1484,Public,Master's degree,80,47244,Mid East,1513,45,17,51
C1485,Private,Master's degree,66,30889,Southeast,34536,22,22,99
C1486,Private,Bachelor's degree,69,7595,Mid East,5701,61,15,95
C1487,Public,Master's degree,75,32814,Southeast,9755,23,,100
C1488,Public,Doctoral degree,63,7339,Southeast,4963,10,,93
C1489,Private,Bachelor's degree,80,11492,Plains,12229,36,20,98
C1490,Private,Bachelor's degree,,7144,Plains,2274,80,22,74
C1491,Private,Master's degree,78,20040,Southeast,2713,44,,97
C1492,Private,Master's degree,52,,Mid East,12085,41,21,
C1493,Private,Bachelor's degree,72,11318,Mid East,2355,34,21,77
C1494,Private,Bachelor's degree,60,28400,Southeast,5481,26,25,99
C1495,Private,Bachelor's degree,68,6739,Southeast,6668,73,16,79
C1496,Private,Bachelor's degree,70,20560,Plains,28389,58,16,99
C1497,Public,Master's degree,83,23305,Far West,6032,79,25,98
C1498,Private,Bachelor's degree,96,15400,Southeast,4579,88,22,92
C1499,Private,Doctoral degree,71,13318,Great Lakes,2045,71,18,99
C1500,Private,Bachelor's degree,,26764,Southeast,4827,13,13,100
C1501,Private,Master's degree,75,19394,Great Lakes,3812,9,18,98
C1502,Private,Master's degree,93,7720,Southwest,5232,69,19,84
C1503,Private,Master's degree,56,27575,Southwest,8643,54,17,86
C1504,Public,Doctoral degree,59,4404,Southeast,2400,22,18,92
C1505,Private,Bachelor's degree,,10403,Rocky Mountains,66,,23,64
C1506,Private,Bachelor's degree,79,9275,Far West,23258,33,21,96
C1507,Private,Master's degree,55,38069,Mid East,8782,19,23,99
C1508,Private,Master's degree,61,41456,Plains,1136,16,22,79
C1509,Private,Master's degree,59,41868,Southeast,24445,13,,97
C1510,Public,Master's degree,64,24222,Great Lakes,1128,43,21,100
C1511,Public,Bachelor's degree,69,41328,Mid East,2245,11,20,94
C1512,Public,Master's degree,68,25678,Mid East,2326,6,27,100
C1513,Private,Bachelor's degree,68,10918,Mid East,1229,24,,78
C1514,Private,Bachelor's degree,48,29934,Southeast,3462,9,21,100
C1515,Private,Master's degree,100,6536,Great Lakes,574,32,21,85
C1516,Private,Bachelor's degree,57,25710,Plains,2229,17,21,97
C1517,Private,Doctoral degree,56,12022,Great Lakes,12124,41,22,77
C1518,Private,Master's degree,68,13750,Far West,10696,18,22,94
C1519,Private,Bachelor's degree,87,43800,Far West,971,28,20,76
C1520,Private,Master's degree,59,6496,New England,2575,89,24,91
C1521,Public,Bachelor's degree,78,36726,New England,2204,71,18,93
C1522,Private,Master's degree,57,8129,Far West,4304,18,21,96
C1523,Private,Master's degree,63,5600,Mid East,35546,3,26,87
C1524,Private,Bachelor's degree,,41800,Great Lakes,3388,81,31,88
C1525,Private,Bachelor's degree,57,35600,Mid East,1749,8,21,100
C1526,Public,Master's degree,21,12235,Plains,2129,34,19,100
C1527,Private,Doctoral degree,11,46652,New England,7089,15,18,69
C1528,Private,Master's degree,,22044,Southeast,2842,21,17,100
C1529,Private,Master's degree,100,19920,Plains,11300,51,,100
C1530,Public,Master's degree,52,7961,Far West,11212,47,24,88
C1531,Private,Bachelor's degree,80,7514,Mid East,516,44,18,86
C1532,Private,Master's degree,66,9037,Plains,6736,14,15,90
C1533,Private,Bachelor's degree,,15140,Southeast,14077,33,21,100
C1534,Private,Master's degree,51,22200,Plains,1411,0,16,97
